CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240,famincg2,ttlincg2
  143, 6,6,6,6,6, 6,6,6,6,6,2,2
  144, 1,6,6,6,6,96,6,6,6,6,2,2
  145, 6,6,6,6,6, 6,6,6,6,6,2,2
  146, 6,6,6,6,6, 2,2,6,6,6,4,3
  147, 4,6,6,3,6, 4,6,6,4,6,5,2
  148, 4,6,6,4,6,96,6,6,6,6,3,3
  149, 6,6,6,6,6, 6,6,6,6,6,6,1
  150, 7,6,6,6,3,96,6,6,6,6,6,4
  151, 1,6,6,6,6,96,6,6,6,6,6,1
  152, 6,6,6,6,6, 6,6,6,6,6,6,4
  153, 6,6,6,6,6, 2,1,6,6,6,5,3
  154, 2,1,6,6,6, 2,1,6,6,6,1,1
  155, 4,6,6,3,6, 6,6,6,6,6,1,1
  156, 2,1,6,6,6,96,6,6,6,6,6,1
  157, 2,1,6,6,6,96,6,6,6,6,1,1
  158, 4,6,6,2,6, 2,1,6,6,6,4,1
  159, 2,2,6,6,6,96,6,6,6,6,2,2
  160, 2,1,6,6,6, 2,1,6,6,6,2,2
  161, 4,6,6,3,6,96,6,6,6,6,2,2
  162, 4,6,6,2,6, 2,1,6,6,6,2,1
  163, 7,6,6,6,3,96,6,6,6,6,6,6
  164, 6,6,6,6,6, 2,1,6,6,6,4,4
  165, 6,6,6,6,6, 2,1,6,6,6,3,3
  166, 7,6,6,6,3, 7,6,6,6,3,6,5
  167, 4,6,6,4,6, 3,6,1,6,6,3,1
  168, 2,1,6,6,6, 2,2,6,6,6,6,1
  169, 6,6,6,6,6, 4,6,6,4,6,6,2
  170, 1,6,6,6,6,96,6,6,6,6,2,2
  171, 1,6,6,6,6,96,6,6,6,6,6,1
  172, 3,6,1,6,6, 2,1,6,6,6,6,4
  173, 2,2,6,6,6,96,6,6,6,6,1,1
  174, 2,1,6,6,6,96,6,6,6,6,3,3
  175, 4,6,6,3,6,96,6,6,6,6,1,1
  176, 2,1,6,6,6,96,6,6,6,6,2,2
  177, 2,1,6,6,6,96,6,6,6,6,2,2
  178, 1,6,6,6,6, 1,6,6,6,6,2,1
  179, 1,6,6,6,6, 2,1,6,6,6,4,2
  180, 2,1,6,6,6,96,6,6,6,6,2,2
  181, 2,1,6,6,6, 2,1,6,6,6,4,3
  182, 2,1,6,6,6, 2,1,6,6,6,3,3
  183, 6,6,6,6,6,96,6,6,6,6,2,2
  184, 6,6,6,6,6,96,6,6,6,6,3,3
  185, 2,1,6,6,6,96,6,6,6,6,2,1
  186, 6,6,6,6,6, 4,6,6,3,6,6,4
  187, 2,1,6,6,6, 1,6,6,6,6,3,3
  188, 4,6,6,3,6, 4,6,6,3,6,1,1
  189, 4,6,6,4,6, 4,6,6,4,6,6,3
  190, 4,6,6,4,6, 4,6,6,3,6,4,2
  191, 7,6,6,6,3,96,6,6,6,6,3,3
  192, 4,6,6,2,6,96,6,6,6,6,2,2
  193, 1,6,6,6,6,96,6,6,6,6,3,3
  194, 2,1,6,6,6,96,6,6,6,6,2,2
  195, 7,6,6,6,3, 7,6,6,6,3,6,6
  196, 6,6,6,6,6, 2,1,6,6,6,6,2
  197, 2,1,6,6,6, 7,6,6,6,3,6,4
  198, 6,6,6,6,6, 2,1,6,6,6,6,5
  199, 6,6,6,6,6, 4,6,6,3,6,4,3
  200, 1,6,6,6,6, 2,1,6,6,6,3,3
  201,98,6,6,6,6,98,6,6,6,6,5,2
  202, 6,6,6,6,6, 4,6,6,4,6,6,5
  203, 6,6,6,6,6,96,6,6,6,6,4,4
  204, 6,6,6,6,6,96,6,6,6,6,2,2
  205, 1,6,6,6,6,96,6,6,6,6,2,2
  206, 2,2,6,6,6, 7,6,6,6,3,3,2
  207, 6,6,6,6,6, 6,6,6,6,6,6,6
  208, 5,6,6,6,6,96,6,6,6,6,3,3
  209, 4,6,6,3,6, 4,6,6,3,6,6,3
  210, 6,6,6,6,6, 7,6,6,6,3,2,1
  211, 2,2,6,6,6, 2,2,6,6,6,2,1
  212, 7,6,6,6,3, 2,1,6,6,6,6,5
  213, 2,1,6,6,6, 5,6,6,6,6,4,1
  214, 1,6,6,6,6,96,6,6,6,6,1,1
  215, 6,6,6,6,6, 7,6,6,6,3,2,1
  216, 4,6,6,3,6,96,6,6,6,6,1,1
  217, 4,6,6,2,6, 4,6,6,3,6,4,2
  218, 3,6,1,6,6, 4,6,6,3,6,6,6
  219, 3,6,1,6,6, 2,1,6,6,6,4,3
  220, 1,6,6,6,6, 2,1,6,6,6,2,1
  221, 1,6,6,6,6, 3,6,2,6,6,3,1
  222, 6,6,6,6,6,96,6,6,6,6,1,1
  223, 3,6,2,6,6, 4,6,6,4,6,5,2
  224, 4,6,6,3,6,99,6,6,6,6,1,1
  225, 1,6,6,6,6,96,6,6,6,6,1,1
  226, 6,6,6,6,6, 3,6,2,6,6,2,1
  227, 7,6,6,6,3, 3,6,2,6,6,6,4
  228,97,6,6,6,6,97,6,6,6,6,6,1
  229, 2,1,6,6,6, 4,6,6,3,6,6,4
  230, 6,6,6,6,6,96,6,6,6,6,3,3
  231, 1,6,6,6,6, 3,6,2,6,6,2,1
  232, 7,6,6,6,3,96,6,6,6,6,1,1
  233, 6,6,6,6,6, 7,6,6,6,3,6,5
  234, 1,6,6,6,6,96,6,6,6,6,1,1
  235, 3,6,2,6,6,96,6,6,6,6,1,1
  236, 3,6,1,6,6,97,6,6,6,6,6,1
  237, 4,6,6,4,6,96,6,6,6,6,1,1
  238, 2,1,6,6,6, 3,6,2,6,6,3,1
  239, 4,6,6,4,6, 4,6,6,4,6,6,4
  240, 4,6,6,4,6, 7,6,6,6,3,4,2
  241, 4,6,6,3,6, 4,6,6,2,6,6,5
  242, 2,1,6,6,6, 6,6,6,6,6,6,4
  243, 3,6,1,6,6, 4,6,6,3,6,2,2
  244, 6,6,6,6,6, 4,6,6,3,6,3,2
  245, 1,6,6,6,6,96,6,6,6,6,3,3
  246, 2,2,6,6,6, 1,6,6,6,6,2,1
  247, 6,6,6,6,6, 6,6,6,6,6,4,2
  248, 2,1,6,6,6,96,6,6,6,6,6,1
  249, 2,2,6,6,6,96,6,6,6,6,2,2
  250, 6,6,6,6,6,96,6,6,6,6,3,3
  251, 4,6,6,3,6, 7,6,6,6,3,2,1
  252, 4,6,6,4,6, 6,6,6,6,6,6,2
  253, 7,6,6,6,2, 7,6,6,6,3,5,1
  254, 2,1,6,6,6,96,6,6,6,6,2,2
  255, 2,2,6,6,6,96,6,6,6,6,1,1
  256, 2,1,6,6,6, 2,1,6,6,6,3,2
  257, 2,1,6,6,6, 2,1,6,6,6,4,3
  258, 1,6,6,6,6,96,6,6,6,6,1,1
  259, 4,6,6,3,6, 4,6,6,7,6,6,5
  260, 2,2,6,6,6, 2,1,6,6,6,4,3
  261, 2,1,6,6,6, 2,1,6,6,6,3,2
  262, 7,6,6,6,3, 6,6,6,6,6,3,3
  263, 2,1,6,6,6,96,6,6,6,6,6,2
  264, 4,6,6,3,6, 2,7,6,6,6,6,1
  265, 2,1,6,6,6,96,6,6,6,6,4,4
  266, 1,6,6,6,6,97,6,6,6,6,2,1
  267, 2,1,6,6,6, 4,6,6,3,6,2,2
  268, 2,1,6,6,6,96,6,6,6,6,6,2
  269, 6,6,6,6,6, 7,6,6,6,3,5,5
  270, 6,6,6,6,6,96,6,6,6,6,2,2
  271, 6,6,6,6,6,96,6,6,6,6,2,2
  272, 7,6,6,6,3, 6,6,6,6,6,6,5
  273, 4,6,6,3,6, 5,6,6,6,6,3,1
  274, 2,1,6,6,6, 2,2,6,6,6,2,1
  275, 6,6,6,6,6,96,6,6,6,6,3,3
  276, 5,6,6,6,6, 3,6,1,6,6,6,4
  277, 5,6,6,6,6, 4,6,6,4,6,6,2
  278, 1,6,6,6,6,96,6,6,6,6,3,1
  279, 3,6,2,6,6, 6,6,6,6,6,4,2
  280, 2,2,6,6,6, 2,2,6,6,6,3,2
  281, 2,1,6,6,6, 4,6,6,2,6,6,4
  282, 2,1,6,6,6, 2,1,6,6,6,5,2
  283, 1,6,6,6,6,96,6,6,6,6,1,1
  284, 2,1,6,6,6, 2,1,6,6,6,3,1
  285, 1,6,6,6,6,96,6,6,6,6,4,1
  286, 2,1,6,6,6, 7,6,6,6,3,6,1
  287, 2,1,6,6,6, 1,6,6,6,6,2,1
