CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240
  296, 2,1,6,6,6,96,6,6,6,6
  297, 6,6,6,6,6,96,6,6,6,6
  298, 6,6,6,6,6, 4,6,6,4,6
  299, 6,6,6,6,6, 2,1,6,6,6
  300, 6,6,6,6,6,96,6,6,6,6
  301, 1,6,6,6,6,96,6,6,6,6
  302, 4,6,6,4,6,96,6,6,6,6
  303, 2,1,6,6,6, 3,6,2,6,6
  304, 5,6,6,6,6,96,6,6,6,6
  305, 2,1,6,6,6,96,6,6,6,6
  306, 3,6,2,6,6, 2,1,6,6,6
  307, 7,6,6,6,3, 6,6,6,6,6
  308, 1,6,6,6,6, 1,6,6,6,6
  309, 4,6,6,3,6, 1,6,6,6,6
  310, 1,6,6,6,6,96,6,6,6,6
  311, 7,6,6,6,3,96,6,6,6,6
  312, 3,6,1,6,6,96,6,6,6,6
  313, 7,6,6,6,4, 7,6,6,6,3
  314, 6,6,6,6,6, 6,6,6,6,6
  315, 3,6,2,6,6, 1,6,6,6,6
  316, 6,6,6,6,6, 4,6,6,4,6
  317,99,6,6,6,3, 7,6,6,6,4
  318, 4,6,6,4,6, 4,6,6,3,6
  319, 1,6,6,6,6,96,6,6,6,6
  320, 7,6,6,6,3,96,6,6,6,6
  321, 2,2,6,6,6,96,6,6,6,6
  322, 2,1,6,6,6,96,6,6,6,6
  323, 3,6,2,6,6, 6,6,6,6,6
  324, 7,6,6,6,3,96,6,6,6,6
  325, 4,6,6,3,6, 2,1,6,6,6
  326, 2,2,6,6,6,96,6,6,6,6
  327, 1,6,6,6,6,96,6,6,6,6
  328, 4,6,6,3,6, 1,6,6,6,6
  329, 3,6,2,6,6, 3,6,2,6,6
  330, 1,6,6,6,6,96,6,6,6,6
  331, 7,6,6,6,3, 7,6,6,6,2
  332, 3,6,1,6,6, 2,1,6,6,6
  333, 4,6,6,4,6,96,6,6,6,6
  334, 7,6,6,6,3,96,6,6,6,6
  335, 2,1,6,6,6, 1,6,6,6,6
  336, 2,1,6,6,6,96,6,6,6,6
  337, 4,6,6,2,6,96,6,6,6,6
  338, 4,6,6,4,6, 4,6,6,4,6
  339, 1,6,6,6,6, 2,1,6,6,6
